epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_f1
1,0.12671643166554059,0.12709493262860388,0.9662661228089516,0.9664902998236331,0.9681208053691275
2,0.10187258823035711,0.10302911855916574,0.9695733656708191,0.972663139329806,0.9740150880134115
3,0.09129720607953916,0.09328928418284949,0.9719986771028553,0.9744268077601411,0.9756507136859782
4,0.08553764043274811,0.08818307253669125,0.9732113328188733,0.9770723104056437,0.9780590717299578
5,0.08113461027798152,0.08426236448249604,0.97354205710506,0.9761904761904762,0.9773489932885906
6,0.07796339914055336,0.08171191725360585,0.974975195678536,0.9766313932980599,0.9777404451910962
7,0.07598343597808814,0.08033769471952429,0.9745342299636204,0.9739858906525574,0.9753034742570112
8,0.07359754388379895,0.07838967097077888,0.9755264028221806,0.9753086419753086,0.9765100671140939
9,0.0718552289407619,0.07710208760870589,0.9758571271083674,0.9766313932980599,0.9777217318200925
10,0.07032867102363627,0.07588317128896399,0.9760776099658252,0.9766313932980599,0.9777404451910962
11,0.06902007556534591,0.07502575736522636,0.976298092823283,0.9761904761904762,0.9773299748110831
12,0.06785029464971945,0.07422597577284575,0.9770697828243854,0.9766313932980599,0.9777217318200925
13,0.06679616344960049,0.07352084411377943,0.9770697828243854,0.9757495590828924,0.9769392033542977
14,0.0658858841580651,0.07296255581259634,0.9774005071105721,0.9748677248677249,0.9761206535400084
15,0.0650523446098234,0.07232705198501664,0.9782824385404035,0.9775132275132276,0.9785263157894737
16,0.06409066571536509,0.07169899373656642,0.9779517142542168,0.9770723104056437,0.9781328847771237
17,0.06332994431401266,0.07123338976763516,0.9775107485393011,0.9766313932980599,0.9777591271506504
18,0.06281289833287816,0.07084931613698972,0.9793848528276926,0.9788359788359788,0.9797809604043808
19,0.06204851521234836,0.07032190733855219,0.9782824385404035,0.9761904761904762,0.9773679798826488
20,0.06130643824870287,0.0698540447684405,0.9791643699702348,0.9761904761904762,0.9773109243697479
21,0.060744435762329754,0.06951493498720354,0.978943887112777,0.9761904761904762,0.9773489932885906
22,0.06020202077724494,0.06919792038531546,0.9790541285415059,0.9770723104056437,0.9782062028499581
23,0.05972814041218601,0.06893442983550048,0.9791643699702348,0.9761904761904762,0.9773869346733668
24,0.05925599139759213,0.06867088590769933,0.9793848528276926,0.9761904761904762,0.9773869346733668
25,0.05859664539389811,0.06825270310466457,0.9797155771138794,0.9775132275132276,0.9785984053713807
