epoch,loss,accuracy,val_loss,val_accuracy,lr
1,0.2637958824634552,0.9216078519821167,0.4385416507720947,0.842555582523346,0.001
2,0.0911964550614357,0.9724705815315247,0.057503994554281235,0.9825555682182312,0.001
3,0.06831635534763336,0.9789999723434448,0.048851270228624344,0.9848889112472534,0.001
4,0.05919696390628815,0.9814901947975159,0.0443333238363266,0.9871110916137695,0.001
5,0.05042353272438049,0.9849215745925903,0.04632795229554176,0.987333357334137,0.001
6,0.0334077849984169,0.9896078705787659,0.04660186544060707,0.9885555505752563,0.0005
7,0.02483654022216797,0.9921764731407166,0.03530728071928024,0.9903333187103271,0.00025
8,0.01991693116724491,0.9934117794036865,0.03858247026801109,0.9905555844306946,0.00025
9,0.018142182379961014,0.9940784573554993,0.036140311509370804,0.9903333187103271,0.000125
10,0.015418603084981441,0.9949215650558472,0.03505973145365715,0.9909999966621399,6.25e-05
11,0.014446035027503967,0.9953725337982178,0.03594247251749039,0.9909999966621399,6.25e-05
12,0.013703815639019012,0.9956274628639221,0.03560904413461685,0.9907777905464172,3.125e-05
13,0.013767512515187263,0.995078444480896,0.03549521788954735,0.9909999966621399,1.5625e-05
